"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Flii",9.28431598940314e-06,-0.390338113551213,0.099,0.125,0.208609295965899
"Rbms2",9.29016133394734e-06,0.282816950547414,0.163,0.133,0.208740635012463
"Gfra2",9.45317113143032e-06,-0.285854566513889,0.176,0.209,0.212403302152108
"B3glct",9.45850395800625e-06,-0.279884801835153,0.214,0.247,0.212523125432443
"Snx16",9.55414243415763e-06,0.327498860514176,0.135,0.108,0.214672026353088
"Gid4",9.604743419398e-06,0.314419404620005,0.142,0.114,0.215808979890454
"Disp1",9.67305398195014e-06,0.307048403338966,0.158,0.129,0.217343849920438
"Usp1",9.82649864897105e-06,-0.422444583315316,0.086,0.11,0.220791598143731
"Golt1b",1.0091018359205e-05,-0.376784116695644,0.101,0.128,0.226735091512976
"Gfap",1.01694636601801e-05,0.423905172894264,0.104,0.08,0.228497678980587
"Pcdhb17",1.02408779055703e-05,0.353648402724111,0.107,0.083,0.230102285660258
"Puf60",1.04559759601615e-05,-0.388338186295498,0.125,0.153,0.234935323848868
"Ascc2",1.05818170744395e-05,0.258567790415487,0.181,0.15,0.237762847845581
"Vax2os",1.08283477025422e-05,-0.403259881269726,0.098,0.125,0.24330214452842
"Ptpdc1",1.08315499645942e-05,0.336332499887114,0.132,0.106,0.243374096154468
"Rhbdd2",1.10118759415848e-05,-0.411864260614232,0.085,0.11,0.247425840531468
"Gpi1",1.10199766997178e-05,-0.278859849453975,0.15,0.18,0.247607856465959
"Lrrc8a",1.13228138829706e-05,-0.329206799736488,0.123,0.152,0.254412305136466
"Zbtb25",1.15973220315661e-05,0.357537034050187,0.117,0.092,0.26058022872726
"Phtf2",1.16089229067807e-05,0.271790286145702,0.15,0.122,0.260840888792456
